,stock_code,date,open,close,low,high,adjust,volume,Current_Assets,Short_term_financial_investments,Cash_and_cash_equivalents,Short_term_receivables,Inventories,other_short_term_assets,Non_current_assets,long_term_receivable,Fixed_assets,Long_term_assets_in_progress,Liabilities,Current_liabilities,Short_term_borrowing,Long_term_liabilities,Owners_equity,Other_fund,Tỷ lệ ghi sổ FVTPL và AFS trên VCSH ,Tỷ lệ cho vay trên vốn chủ ,Tăng trưởng LN ròng 4 quý liền kề so với cùng kỳ năm trước,Tăng trưởng Doanh thu thuần 4 quý liền kề so với cùng kỳ năm trước,ROAE ,ROAA ,Tỷ lệ nợ vay trên vốn chủ ,Tăng trưởng Vốn chủ sở hữu so với đầu năm,sma,smma,ema,wma,rsi,macd,atr,bandwidth,hull,ichimoku_cline,ichimoku_bline,ichimoku_lsa,ichimoku_lsb,ichimoku_lgp,lsma,mom_osc,ao,momemtum,coppock,changes
10,VND,2016-10-17,13.4,13.4,13.1,13.5,1.49,158493,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.45487636344458154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.64715581203627,0.0,-0.5,0.0,0.007518796992481176
11,VND,2016-10-18,13.4,13.2,13.1,13.4,1.46,125503,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4438137660556829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.389718076285256,0.0,-0.7000000000000011,0.0,-0.014925373134328438
12,VND,2016-10-19,13.3,13.4,13.2,13.4,1.49,191810,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.4263984970517057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.00083125519535,0.0,-0.29999999999999893,0.0,0.015151515151515233
13,VND,2016-10-20,13.3,13.4,13.3,13.7,1.49,713969,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.542857142857144,0.0,13.542857142857144,13.40857142857143,13.139999999999992,0.0,0.4245128901194409,0.04759710621383324,0.0,0.0,0.0,0.0,0.0,0.0,13.139999999999992,-32.88925895087428,0.0,-0.1999999999999993,0.0,0.0
14,VND,2016-10-21,13.5,13.3,13.2,13.7,1.48,1226750,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.464285714285714,12.496938775510204,13.510476190476192,13.376190476190478,13.2,0.0,0.4299048265394808,0.03302786719633614,0.0,0.0,0.0,0.0,0.0,0.0,13.2,-32.833333333333336,0.0,-0.09999999999999964,0.0,-0.007462686567164152
15,VND,2016-10-24,13.3,13.2,13.1,13.3,1.46,239261,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.414285714285715,12.5216472303207,13.469079365079367,13.34095238095238,13.194285714285712,0.0,0.4134830532152322,0.029204066455382576,0.0,0.0,0.0,0.0,0.0,0.0,13.194285714285712,-32.77731442869059,0.0,-0.10000000000000142,0.0,-0.007518796992481309
16,VND,2016-10-25,13.2,13.0,12.9,13.2,1.44,204355,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.35,12.455596626405665,13.40653544973545,13.285714285714288,13.157142857142857,0.0,0.40537712084271554,0.02579340993727966,13.237333333333332,0.0,0.0,0.0,0.0,0.0,13.157142857142857,-32.66499582289056,0.0,-0.1999999999999993,0.0,-0.015151515151515098
17,VND,2016-10-26,13.0,12.9,12.8,13.5,1.43,448239,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.292857142857144,12.403171669542454,13.338997389770723,13.225714285714286,13.091428571428562,0.0,0.4264216122110929,0.026953113818343827,13.148904761904763,0.0,0.0,0.0,0.0,0.0,13.091428571428562,-54.995801847187245,0.0,-0.5999999999999996,0.0,-0.007692307692307665
18,VND,2016-10-27,12.9,12.9,12.8,13.0,1.43,144500,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.242857142857146,12.356916309318398,13.28046440446796,13.173333333333336,13.034285714285705,0.0,0.4102486399103005,0.027797408256149153,13.04742857142857,0.0,0.0,0.0,0.0,0.0,13.034285714285705,-54.84414490311711,0.0,-0.40000000000000036,0.0,0.0
19,VND,2016-10-28,12.9,12.8,12.8,13.0,1.42,219252,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,13.200000000000003,12.317363120762975,13.216402483872232,13.114285714285716,12.942857142857147,0.0,0.3952308799167076,0.03188510792782739,12.934999999999999,0.0,0.0,0.0,0.0,0.0,12.942857142857147,-77.30736663844199,0.0,-0.5999999999999996,0.0,-0.007751937984496096
